FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
git\thread-utils.c,68,int init_recursive_mutex(pthread_mutex_t * m),3.147059,1.6470588,1.5,0.0,17,14,18,2,3,2,0,3,False
git\entry.c,405,"static void mark_colliding_entries(const struct checkout * state, struct cache_entry * ce, struct stat * st)",2.142857,0.14285715,2.0,0.0,21,3,6,1,2,2,0,0,False
git\imap-send.c,1535,"int cmd_main(int argc, const char * * argv)",2.4848485,0.8181819,1.6666666,0.0,55,15,28,3,5,3,0,3,False
git\exec-cmd.c,170,"static int git_get_exec_path(struct strbuf * buf, const char * argv0)",2.92,1.92,1.0,0.0,25,12,12,4,4,4,0,0,False
git\compat\mingw.c,1729,"static int try_shell_exec(const char * cmd, char * const * argv)",1.0857143,0.08571429,1.0,0.0,35,3,3,1,1,1,0,1,False
git\daemon.c,991,"static int setup_named_sock(char * listen_addr, int listen_port, struct socketlist * socklist) #1",1.1076924,0.10769231,1.0,0.0,65,7,7,1,1,1,0,0,False
git\grep.c,409,"static void compile_pcre1_regexp(struct grep_pat * p, const struct grep_opt * opt) #1",2.25,0.25,2.0,0.0,28,7,14,1,2,2,0,1,False
git\daemon.c,808,"static int addrcmp(const struct sockaddr_storage * s1, const struct sockaddr_storage * s2)",1.3157895,0.31578946,1.0,0.0,19,6,6,1,1,1,0,1,False
git\http-walker.c,347,"static void fetch_alternates(struct walker * walker, const char * base)",1.1351352,0.13513513,1.0,0.0,37,5,5,1,1,1,0,0,False
git\run-command.c,1289,int finish_async(struct async * async),2.9545455,1.4545455,1.5,0.0,11,8,15,2,3,2,0,1,False
git\compat\nedmalloc\nedmalloc.c,346,static NOINLINE threadcache * AllocCache(nedpool * p) THROWSPEC,1.1428572,0.14285715,1.0,0.0,28,4,4,1,1,1,0,0,False
git\compat\poll\poll.c,250,"static int compute_revents(int fd, int sought, fd_set * rfds, fd_set * wfds, fd_set * efds)",3.0555556,0.5555555999999999,2.5,0.0,36,10,27,2,5,3,0,1,False
git\grep.c,173,"void grep_init(struct grep_opt * opt, struct repository * repo, const char * prefix)",1.5625,0.5625,1.0,0.0,32,9,9,2,2,2,0,0,False
git\compat\nedmalloc\nedmalloc.c,473,"static void threadcache_free(nedpool * p, threadcache * tc, int mymspace, void * mem, size_t size) THROWSPEC",2.169231,1.1692308,1.0,0.0,65,19,19,4,4,2,0,0,False
git\read-cache.c,960,"int verify_path(const char * path, unsigned mode)",1.0833334,0.083333336,1.0,0.0,48,4,4,1,1,1,0,0,False
git\sha1-file.c,1029,"int git_open_cloexec(const char * name, int flags)",3.4761906000000002,0.47619048,3.0,0.0,21,10,30,1,3,3,0,0,False
git\http.c,1636,static int handle_curl_result(struct slot_results * results),1.7027028000000002,0.7027026999999999,1.0,0.0,37,13,13,2,2,2,0,0,False
git\remote-curl.c,49,"static int set_option(const char * name, const char * value)",1.0816326,0.08163265,1.0,0.0,147,12,12,1,1,1,0,0,False
git\ident.c,98,"static int canonical_name(const char * host, struct strbuf * out)",3.0652174999999997,1.5652173999999999,1.5,0.0,23,18,26,2,3,2,0,3,False
git\cache-tree.c,238,"static int update_one(struct cache_tree * it, struct cache_entry * * cache, int entries, const char * base, int baselen, int * skip_count, int flags)",1.1224489,0.12244898,1.0,0.0,147,9,9,2,2,1,0,0,False
