FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly,Pedro
allegro5\src\convert.c,1715,"static void rgb_888_to_single_channel_8(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)",1.8703704,0.37037036,1.5,0,27,5,9,2,3,2,0,1,,True
allegro5\src\opengl\extensions.c,933,void _al_ogl_unmanage_extensions(ALLEGRO_DISPLAY * gl_disp),2.125,1.125,1,0,16,9,9,2,2,2,0,0,,True
allegro5\src\convert.c,1949,"static void rgb_565_to_bgr_888(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)",2.080645,0.58064514,1.5,0,31,9,15,2,3,2,0,1,,False
allegro5\src\opengl\ogl_bitmap.c,728,"static ALLEGRO_LOCKED_REGION * ogl_lock_compressed_region(ALLEGRO_BITMAP * bitmap, int x, int y, int w, int h, int flags)",5.6188526,3.8688524,1.25,0.5,122,118,134,4,5,3,2,3,,True
allegro5\src\convert.c,5364,"static void bgr_555_to_bgr_888(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)",2.080645,0.58064514,1.5,0,31,9,15,2,3,2,0,1,,False
allegro5\src\opengl\ogl_fbo.c,152,static void attach_depth_buffer(ALLEGRO_FBO_INFO * info),9.227273,5.7272725,1.8333334,1.6666666,66,63,104,6,11,4,10,6,,True
allegro5\src\opengl\ogl_draw.c,462,"static void ogl_update_transformation(ALLEGRO_DISPLAY * disp, ALLEGRO_BITMAP * target)",2.1034484,1.1034483,1,0,29,16,16,2,2,2,0,0,,True
allegro5\src\x\xfullscreen.c,746,void _al_xsys_mmon_exit(ALLEGRO_SYSTEM_XGLX * s),2.8000002,1.8000001,1,0,15,9,9,3,3,3,0,0,,False
allegro5\src\x\xfullscreen.c,525,static int xfvm_get_default_adapter(ALLEGRO_SYSTEM_XGLX * s),1.5,0.5,1,0,10,5,5,1,1,1,0,0,,False
allegro5\src\x\xsystem.c,170,static ALLEGRO_SYSTEM * xglx_initialize(int flags),1.1967213,0.19672132,1,0,61,6,6,2,2,2,0,0,,False
allegro5\addons\primitives\triangulator.c,492,"static int poly_compute_vertex_attributes(_AL_LIST * vertices, _AL_LIST_ITEM * item, int flags, _AL_LIST * reflex)",1.1515151,0.15151516,1,0,66,10,10,1,1,1,0,0,,False
allegro5\examples\ex_path_test.c,125,static void t3(void),3.26,1.76,1.5,0,25,22,26,2,3,2,0,1,,True
allegro5\src\opengl\ogl_draw.c,39,"static void try_const_color(ALLEGRO_DISPLAY * ogl_disp, ALLEGRO_COLOR * c)",3.8095238,2.142857,1.3333334,0.33333334,14,10,17,3,4,3,1,2,,True
allegro5\src\gp2xwiz\wiz_display_opengl.c,47,"static ALLEGRO_DISPLAY * gp2xwiz_create_display_ogl(int w, int h)",1.2068965,0.20689656,1,0,58,6,6,2,2,2,0,0,,False
allegro5\src\opengl\ogl_draw.c,495,"static void ogl_clear_depth_buffer(ALLEGRO_DISPLAY * display, float x)",2.5,1,1.5,0,10,5,9,2,3,2,0,1,,True
allegro5\examples\ex_nodisplay.c,9,"int main(int argc, char * * argv)",1.75,0.25,1.5,0,48,6,10,2,3,2,0,1,,False
allegro5\src\linux\lmseev.c,419,static void process_rel(const struct input_event * event),1.12,0.12,1,0,25,3,3,1,1,1,0,0,,False
allegro5\src\convert.c,49,"static void argb_8888_to_rgb_888(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)",2.080645,0.58064514,1.5,0,31,9,15,2,3,2,0,1,,True
allegro5\addons\primitives\prim_opengl.c,795,void _al_unlock_vertex_buffer_opengl(ALLEGRO_VERTEX_BUFFER * buf),2.75,1.25,1.5,0,8,5,9,2,3,2,0,1,,False
allegro5\addons\audio\kcm_mixer.c,52,"static float * _al_rechannel_matrix(ALLEGRO_CHANNEL_CONF orig, ALLEGRO_CHANNEL_CONF target, float gain, float pan)",1.2241379,0.22413793,1,0,58,13,13,1,1,1,0,0,,False
allegro5\addons\image\iio.c,14,bool al_init_image_addon(void),7.8776846,6.6554623,1,0.22222222,119,88,102,9,9,9,2,0,,True
allegro5\src\x\xrandr.c,314,static bool xrandr_query(ALLEGRO_SYSTEM_XGLX * s),1.0689656,0.06896552,1,0,87,6,6,1,1,1,0,0,,False
allegro5\src\x\xsystem.c,361,static bool xglx_inhibit_screensaver(bool inhibit),1.65,0.65,1,0,20,13,13,1,1,1,0,0,,True
allegro5\src\x\xmousenu.c,428,"void _al_xwin_mouse_motion_notify_handler(int x, int y, ALLEGRO_DISPLAY * display)",1.1935484,0.19354838,1,0,31,6,6,1,1,1,0,0,,False
allegro5\src\fshook_stdio.c,592,static bool do_make_directory(WRAP_CHAR * abs_path),1.3076923,0.30769232,1,0,26,8,8,1,1,1,0,0,,False
allegro5\src\opengl\ogl_draw.c,160,"static void color_ptr_on(ALLEGRO_DISPLAY * display, int n, GLint t, int stride, void * v)",2.1764708,1.1764706,1,0,17,10,10,2,2,2,0,0,,False
allegro5\src\convert.c,4307,"static void bgr_888_to_rgb_888(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)",3.0555556,1.5555556,1.5,0,36,14,24,4,6,2,0,2,,True
allegro5\src\convert.c,1274,"static void rgb_888_to_rgba_8888(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)",1.8703704,0.37037036,1.5,0,27,5,9,2,3,2,0,1,,True
allegro5\src\opengl\extensions.c,304,static void load_extensions(ALLEGRO_OGL_EXT_API * ext),8.166667,5,3,0.16666667,36,30,104,6,18,6,1,6,,True
allegro5\src\convert.c,463,"static void rgba_8888_to_rgb_888(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)",2.080645,0.58064514,1.5,0,31,9,15,2,3,2,0,1,,True
allegro5\src\shader.c,50,ALLEGRO_SHADER * al_create_shader(ALLEGRO_SHADER_PLATFORM platform),1.7407408,0.7407407,1,0,27,10,10,2,2,2,0,0,,True
allegro5\src\convert.c,1247,"static void rgb_888_to_argb_8888(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)",1.8703704,0.37037036,1.5,0,27,5,9,2,3,2,0,1,,False
allegro5\src\cpu.c,50,int al_get_cpu_count(void),9.666666,5,3.3333333,1.3333334,24,20,116,6,20,7,8,6,,True
allegro5\src\x\xfullscreen.c,709,static bool init_mmon_interface(ALLEGRO_SYSTEM_XGLX * s),2.2272727,1.2272727,1,0,22,9,9,3,3,3,0,0,,True
allegro5\src\convert.c,1553,"static void rgb_888_to_bgr_555(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)",1.8703704,0.37037036,1.5,0,27,5,9,2,3,2,0,1,,False
allegro5\src\opengl\extensions.c,710,void _al_ogl_manage_extensions(ALLEGRO_DISPLAY * gl_disp),8.861904,7.028571,1.5833334,0.25,140,82,136,12,19,8,3,6,,True
allegro5\src\opengl\extensions.c,578,void * al_get_opengl_proc_address(const char * name),9.250958,6.362069,2.4444444,0.44444445,58,41,162,9,22,6,4,7,,True
allegro5\src\system.c,99,static ALLEGRO_PATH * early_get_exename_path(void),12.857143,6,6.857143,0,21,18,177,7,48,7,0,21,,True
allegro5\src\opengl\ogl_bitmap.c,88,"int _al_ogl_get_glformat(int format, int component)",3.3961039,1.8961039,1.5,0,77,73,109,2,3,2,0,3,,True
allegro5\src\cpu.c,77,int al_get_ram_size(void),12.525345,6.096774,4.285714,2.142857,31,27,192,7,30,9,15,9,,True
allegro5\src\fshook_stdio.c,468,static void fs_stdio_destroy_entry(ALLEGRO_FS_ENTRY * fh_),1.2727273,0.27272728,1,0,11,3,3,1,1,1,0,0,,False
allegro5\src\raspberrypi\pidisplay.c,399,"static ALLEGRO_DISPLAY * raspberrypi_create_display(int w, int h)",1.1621622,0.16216215,1,0,74,6,6,2,2,2,0,0,,True
allegro5\addons\acodec\ogg.c,82,static bool init_dynlib(void),4.474359,2.974359,1.5,0,39,29,40,4,6,3,0,4,,True
allegro5\examples\ex_vertex_buffer.c,82,"int main(int argc, char * * argv)",1.0260869,0.026086956,1,0,115,3,3,1,1,1,0,0,,True
allegro5\examples\ex_path_test.c,319,static void t10(void),1.1818182,0.18181819,1,0,44,8,8,1,1,1,0,0,,True
allegro5\src\opengl\ogl_draw.c,55,bool _al_opengl_set_blender(ALLEGRO_DISPLAY * ogl_disp),4.4736843,1.4736842,2.1666667,0.8333333,57,14,47,6,13,5,5,9,,True
allegro5\examples\ex_resample_test.c,22,static void mainloop(void),1.2197802,0.21978022,1,0,91,10,10,2,2,1,0,0,,False
allegro5\src\opengl\ogl_draw.c,194,"static void tex_ptr_on(ALLEGRO_DISPLAY * display, int n, GLint t, int stride, void * v)",2.1764708,1.1764706,1,0,17,10,10,2,2,2,0,0,,False
allegro5\src\opengl\ogl_fbo.c,233,static void attach_multisample_buffer(ALLEGRO_FBO_INFO * info),6.535714,3.7857144,2,0.75,56,53,180,4,8,3,3,4,,True
allegro5\src\convert.c,7434,"static void rgba_4444_to_bgr_888(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)",2.080645,0.58064514,1.5,0,31,9,15,2,3,2,0,1,,True
allegro5\demos\skater\src\game.c,226,static void GameDraw(void),1.6153846,0.61538464,1,0,91,28,28,2,2,2,0,0,,False
allegro5\examples\ex_window_maximized.c,29,"extern int main(int argc, char * * argv)",2.0270271,0.027027028,2,0,111,3,6,1,2,2,0,1,,False
allegro5\src\shader.c,449,ALLEGRO_SHADER * _al_create_default_shader(int display_flags),1.4081633,0.40816328,1,0,49,10,10,2,2,2,0,0,,False
allegro5\src\opengl\ogl_draw.c,212,static void tex_ptr_off(ALLEGRO_DISPLAY * display),2.0666666,1.0666667,1,0,15,8,8,2,2,2,0,0,,False
allegro5\addons\primitives\prim_opengl.c,652,"static bool create_buffer_common(ALLEGRO_BUFFER_COMMON * common, GLenum type, const void * initial_data, int size, int flags)",1.1666666,0.16666667,1,0,30,5,5,1,1,1,0,1,,True
allegro5\addons\color\color.c,184,static void assert_sorted_names(void),1.7692308,0.7692308,1,0,13,10,10,1,1,1,0,0,,False
allegro5\addons\primitives\prim_opengl.c,584,"int _al_draw_prim_opengl(ALLEGRO_BITMAP * target, ALLEGRO_BITMAP * texture, const void * vtxs, const ALLEGRO_VERTEX_DECL * decl, int start, int end, int type)",3.1,1.6,1.5,0,15,12,23,2,3,2,0,1,,False
allegro5\src\convert.c,4424,"static void bgr_888_to_argb_1555(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)",1.8703704,0.37037036,1.5,0,27,5,9,2,3,2,0,1,,True
allegro5\addons\primitives\prim_opengl.c,114,"static void setup_state(const char * vtxs, const ALLEGRO_VERTEX_DECL * decl, ALLEGRO_BITMAP * texture)",3.8691099,2.8691099,1,0,191,137,137,4,4,2,0,0,,True
allegro5\src\opengl\ogl_bitmap.c,873,static void ogl_unlock_compressed_region(ALLEGRO_BITMAP * bitmap),5.5625,3.8125,1.25,0.5,64,61,71,4,5,3,2,3,,True
curl\lib\warnless.c,407,size_t curlx_sitouz(int sinum),2.1666665,1.1666666,1,0,12,7,7,2,2,1,0,0,,False
curl\lib\vtls\schannel.c,1606,"static ssize_t schannel_recv(struct connectdata * conn, int sockindex, char * buf, size_t len, CURLcode * err)",1.0127119,0.012711864,1,0,236,3,3,1,1,1,0,1,,True
curl\lib\hostip.c,645,"enum resolve_t Curl_resolv_timeout(struct connectdata * conn, const char * hostname, int port, struct Curl_dns_entry * * entry, timediff_t timeoutms)",16.41817,13.85567,1.3125,1.25,97,84,165,16,21,6,20,7,,True
curl\lib\vtls\gtls.c,1014,"static CURLcode gtls_connect_step3(struct connectdata * conn, int sockindex)",7.074803,5.574803,1.0833334,0.41666666,381,177,198,12,13,8,5,3,,True
curl\lib\vtls\sectransp.c,2240,"static CURLcode pkp_pin_peer_pubkey(struct Curl_easy * data, SSLContextRef ctx, const char * pinnedpubkey)",3.4933333,1.4933333,2,0,75,28,54,4,8,3,0,2,,False
curl\lib\connect.c,243,"static CURLcode bindlocal(struct connectdata * conn, curl_socket_t sockfd, int af, unsigned int scope)",3.3084795,2.0584795,1,0.25,171,44,53,8,8,3,2,0,,True
curl\lib\ldap.c,260,"static CURLcode Curl_ldap(struct connectdata * conn, bool * done)",23.463072,21.609413,1.3902439,0.46341464,425,224,693,41,57,7,19,13,,True
curl\lib\vtls\gtls.c,519,"static CURLcode gtls_connect_step1(struct connectdata * conn, int sockindex)",14.310893,12.960894,1.2,0.15,358,232,312,20,24,13,3,8,,True
curl\src\tool_util.c,64,struct timeval tvnow(void) #2,2.4473684,0.94736844,1.5,0,19,9,16,2,3,2,0,1,,True
curl\lib\vtls\openssl.c,2388,"static CURLcode ossl_connect_step1(struct connectdata * conn, int sockindex)",27.802431,26.029703,1.3863636,0.38636363,404,239,436,44,61,30,17,11,,True
curl\lib\ftp.c,749,"static void _state(struct connectdata * conn, ftpstate newstate #if defined(DEBUGBUILD), int lineno #endif)",4.6,2.6,1.25,0.75,20,13,28,4,5,3,3,1,,True
curl\lib\strerror.c,716,"const char * Curl_strerror(int err, char * buf, size_t buflen)",13.1,7.2000003,3.3,2.6,75,54,359,10,33,9,26,7,,True
curl\lib\version.c,417,curl_version_info_data * curl_version_info(CURLversion stamp),17.482676,15.835617,1.2941177,0.3529412,73,68,100,17,22,14,6,3,,True
curl\lib\connect.c,494,"static bool verifyconnect(curl_socket_t sockfd, int * error)",8.982143,6.125,1.4285715,1.4285715,40,35,75,7,10,6,10,2,,True
curl\tests\libtest\testutil.c,45,struct timeval tutil_tvnow(void) #2,2.4473684,0.94736844,1.5,0,19,9,16,2,3,2,0,1,,True
curl\lib\url.c,319,CURLcode Curl_close(struct Curl_easy * * datap),1.9333334,0.6,1.3333334,0,65,13,16,3,4,4,0,3,,True
curl\tests\server\socksd.c,747,static bool incoming(curl_socket_t listenfd),1.0612245,0.06122449,1,0,98,6,6,1,1,1,0,0,,False
curl\lib\strerror.c,455,"static const char * get_winsock_error(int err, char * buf, size_t len)",5.34,3.84,1.25,0.25,175,168,336,4,5,3,1,2,,True
curl\lib\vtls\gtls.c,1823,"static CURLcode Curl_gtls_sha256sum(const unsigned char * tmp, size_t tmplen, unsigned char * sha256sum, size_t sha256len)",3.2631578,1.2631578,2,0,19,12,27,2,4,3,0,1,,True
curl\tests\libtest\lib557.c,229,static int test_signed_short_formatting(void),5.4375,2.4375,3,0,128,104,398,3,9,2,0,3,,True
curl\lib\asyn-ares.c,127,void Curl_resolver_global_cleanup(void),1.5,0.5,1,0,6,3,3,1,1,1,0,0,,False
curl\lib\connect.c,1011,"static void tcpnodelay(struct connectdata * conn, curl_socket_t sockfd)",5.65,3.4,1.5,0.75,20,17,32,4,6,3,3,4,,True
curl\lib\url.c,3000,"static CURLcode parse_connect_to_slist(struct Curl_easy * data, struct connectdata * conn, struct curl_slist * conn_to_host)",4.3067007,2.556701,1,0.75,97,62,76,4,4,3,3,0,,True
curl\docs\examples\crawler.c,148,int main(void),1.048387,0.048387095,1,0,62,3,3,1,1,1,0,0,,False
curl\packages\OS400\ccsidcurl.c,402,"curl_version_info_data * curl_version_info_ccsid(CURLversion stamp, unsigned int ccsid)",3.041096,0.04109589,3,0,73,3,9,1,3,3,0,1,,True
curl\lib\urlapi.c,237,"bool Curl_is_absolute_url(const char * url, char * buf, size_t buflen)",1.173913,0.17391305,1,0,23,4,4,1,1,1,0,0,,False
curl\lib\curl_ntlm_core.c,440,"CURLcode Curl_ntlm_core_mk_lm_hash(struct Curl_easy * data, const char * password, unsigned char * lmbuffer)",7.333333,2.3333333,5,0,48,28,129,4,20,9,0,6,,True
curl\lib\vtls\wolfssl.c,420,"static CURLcode wolfssl_connect_step2(struct connectdata * conn, int sockindex)",6.7256494,5.3506494,1.25,0.125,154,103,119,8,10,5,1,3,,True
curl\lib\vtls\openssl.c,347,static const char * SSL_ERROR_to_str(int err),1.9729729,0.9729729,1,0,37,12,12,3,3,3,0,0,,True
curl\tests\libtest\first.c,45,"int select_wrapper(int nfds, fd_set * rd, fd_set * wr, fd_set * exc, struct timeval * tv)",1.4,0.4,1,0,15,6,6,1,1,1,0,0,,True
curl\lib\asyn-ares.c,519,"static void query_completed_cb(void * arg, int status, #if defined(HAVE_CARES_CALLBACK_TIMEOUTS) int timeouts, #endif struct hostent * hostent)",1.3529412,0.3529412,1,0,34,6,6,2,2,1,0,0,,False
curl\lib\curl_addrinfo.c,272,"Curl_addrinfo * Curl_he2ai(const struct hostent * he, int port)",1.6575342,0.65753424,1,0,73,16,16,3,3,1,0,0,,False
curl\lib\vtls\openssl.c,1136,static int Curl_ossl_check_cxn(struct connectdata * conn),9.031359,6.317073,1.4285715,1.2857143,41,37,64,7,10,9,9,1,,True
curl\lib\system_win32.c,46,CURLcode Curl_win32_init(long flags),4.4627657,2.212766,1.75,0.5,47,26,39,4,7,5,2,1,,True
curl\lib\vssh\libssh.c,224,"static void mystate(struct connectdata * conn, sshstate nowstate #if defined(DEBUGBUILD), int lineno #endif)",3.3461537,1.8461539,1.5,0,78,72,141,2,3,2,0,1,,False
curl\lib\vquic\ngtcp2.c,1865,"static CURLcode ng_flush_egress(struct connectdata * conn, int sockfd, struct quicsocket * qs)",1.037037,0.037037037,1,0,135,5,5,1,1,1,0,0,,True
curl\src\tool_binmode.c,38,void set_binmode(FILE * stream),5.25,3,1.5,0.75,12,9,22,4,6,3,3,2,,True
curl\lib\memdebug.c,268,"void * curl_dbg_realloc(void * ptr, size_t wantedsize, int line, const char * source)",1.5,0.5,1,0,28,7,7,2,2,1,0,0,,False
curl\lib\vauth\ntlm_sspi.c,252,"CURLcode Curl_auth_create_ntlm_type3_message(struct Curl_easy * data, const char * userp, const char * passwdp, struct ntlmdata * ntlm, char * * outptr, size_t * outlen)",1.2727273,0.27272728,1,0,66,18,18,1,1,1,0,0,,False
curl\src\tool_cb_wrt.c,79,"size_t tool_write_cb(char * buffer, size_t sz, size_t nmemb, void * userdata)",3.1130435,2.1130435,1,0,115,81,81,3,3,2,0,0,,False
curl\lib\vtls\sectransp.c,2674,"static void show_verbose_server_cert(struct connectdata * conn, int sockindex)",7.5758243,4.175824,2,1.4,91,76,306,5,10,4,7,2,,True
curl\lib\vtls\sectransp.c,916,CF_INLINE CFStringRef getsubject(SecCertificateRef cert),4.797619,3.047619,1.25,0.5,21,16,42,4,5,4,2,1,,True
curl\lib\version.c,88,char * curl_version(void),22.263447,20.917292,1.2307693,0.115384616,133,107,138,26,32,16,3,2,,True
curl\lib\connect.c,680,"void Curl_updateconninfo(struct connectdata * conn, curl_socket_t sockfd)",7.5,5.3333335,1.5,0.6666667,54,48,137,6,9,3,4,1,,True
curl\lib\curl_ntlm_core.c,386,"void Curl_ntlm_core_lm_resp(const unsigned char * keys, const unsigned char * plaintext, unsigned char * results)",8.5348835,3.5348837,5,0,43,38,169,4,20,9,0,6,,True
curl\lib\vssh\libssh2.c,438,static CURLcode ssh_knownhost(struct connectdata * conn),9.835145,7.710145,1.25,0.875,138,133,186,8,10,7,7,2,,True
curl\lib\curl_gethostname.c,51,"int Curl_gethostname(char * name, GETHOSTNAME_TYPE_ARG2 namelen)",5.875,3.625,1.5,0.75,32,29,74,4,6,3,3,4,,True
curl\lib\vtls\sectransp.c,1128,"static OSStatus CopyIdentityFromPKCS12File(const char * cPath, const char * cPassword, SecIdentityRef * out_cert_and_key)",6.104478,3.1044776,1.75,1.25,67,52,152,4,7,3,5,1,,True
curl\lib\hostip4.c,122,"Curl_addrinfo * Curl_ipv4_resolve_r(const char * hostname, int port)",9.77027,5.7702703,2.7142856,1.2857143,74,61,281,7,19,6,9,7,,True
curl\lib\setopt.c,126,"CURLcode Curl_vsetopt(struct Curl_easy * data, CURLoption option, va_list param)",40.116207,38.673347,1.2428571,0.2,1696,937,1152,70,87,30,14,59,,True
curl\lib\vtls\openssl.c,3997,"static size_t Curl_ossl_version(char * buffer, size_t size)",10.81978,6.6769233,3.2857144,0.85714287,65,62,347,7,23,6,6,9,,True
curl\docs\examples\http2-serverpush.c,131,static int setup(CURL * hnd),1.1764706,0.1764706,1,0,17,3,3,1,1,1,0,0,,False
curl\lib\curl_addrinfo.c,545,"void curl_dbg_freeaddrinfo(struct addrinfo * freethis, int line, const char * source)",2.3333333,0.8333333,1.5,0,12,5,9,2,3,2,0,1,,True
curl\tests\server\sws.c,1430,"static void http_connect(curl_socket_t * infdp, curl_socket_t rootfd, const char * ipaddr, unsigned short ipport)",1.0260587,0.026058631,1,0,307,8,8,1,1,1,0,0,,True
curl\lib\vtls\sectransp.c,1033,"static OSStatus CopyIdentityWithLabel(char * label, SecIdentityRef * out_cert_and_key)",7.8,4.6,2.2,1,75,69,161,5,11,4,5,2,,True
curl\lib\multi.c,1269,CURLMcode curl_multi_wakeup(struct Curl_multi * multi),4.6904764,2.357143,1.3333334,1,28,22,35,3,4,3,3,1,,True
curl\lib\vtls\sectransp.c,1274,"static CURLcode set_ssl_version_min_max(struct connectdata * conn, int sockindex)",5.633721,2.8837209,2.5,0.25,86,62,169,4,10,7,1,1,,True
curl\lib\select.c,74,int Curl_wait_ms(int timeout_ms),6.3586206,2.7586207,2.6,1,29,16,90,5,13,4,5,6,,True
curl\lib\vtls\openssl.c,2099,"static int select_next_proto_cb(SSL * ssl, unsigned char * * out, unsigned char * outlen, const unsigned char * in, unsigned int inlen, void * arg)",1.3333334,0.33333334,1,0,30,10,10,1,1,1,0,0,,True
curl\lib\curl_ntlm_core.c,622,"CURLcode Curl_ntlm_core_mk_ntlmv2_resp(unsigned char * ntlmv2hash, unsigned char * challenge_client, struct ntlmdata * ntlm, unsigned char * * ntresp, unsigned int * ntresp_len)",2.3913043,0.39130434,2,0,46,9,18,2,4,3,0,2,,True
curl\lib\mprintf.c,193,static bool dprintf_IsQualifierNoDollar(const char * fmt),1.7619047,0.7619048,1,0,21,8,8,2,2,1,0,0,,False
curl\docs\examples\http2-download.c,180,"int main(int argc, char * * argv)",1.6842105,0.18421052,1.5,0,76,7,12,2,3,2,0,1,,True
curl\tests\server\sockfilt.c,1021,"static bool juggle(curl_socket_t * sockfdp, curl_socket_t listenfd, enum sockmode * mode)",1.031915,0.031914894,1,0,188,6,6,1,1,1,0,0,,False
curl\tests\server\socksd.c,288,static void install_signal_handlers(void),5.73125,4.53125,1.2,0,32,29,36,5,6,6,0,0,,True
curl\lib\pop3.c,937,static CURLcode pop3_statemach_act(struct connectdata * conn),1.0943396,0.094339624,1,0,53,5,5,1,1,1,0,1,,True
curl\lib\url.c,1766,"static void zonefrom_url(CURLU * uh, struct connectdata * conn)",6.299107,4.15625,1.5714285,0.5714286,32,19,49,7,11,5,4,4,,True
curl\docs\examples\multi-post.c,33,int main(void),1.6627907,0.1627907,1.5,0,86,7,12,2,3,2,0,1,,True
curl\lib\timeval.c,32,struct curltime Curl_now(void) #1,1.5833333,0.5833333,1,0,24,7,7,2,2,1,0,0,,False
curl\lib\vssh\libssh2.c,2954,"static CURLcode ssh_block_statemach(struct connectdata * conn, bool disconnect)",1.3333334,0.33333334,1,0,42,14,14,1,1,1,0,0,,False
curl\lib\url.c,1471,"CURLcode Curl_idnconvert_hostname(struct connectdata * conn, struct hostname * host)",8.285714,5.714286,2.142857,0.42857143,49,40,93,7,15,5,3,7,,True
curl\lib\mime.c,1004,"static size_t mime_subparts_read(char * buffer, size_t size, size_t nitems, void * instream, bool * hasread)",2.6463416,1.6463416,1,0,82,27,27,5,5,1,0,0,,False
curl\lib\connect.c,110,"static void tcpkeepalive(struct Curl_easy * data, curl_socket_t sockfd)",5.6679244,3.8679245,1.2,0.6,53,41,92,5,6,5,3,1,,True
curl\lib\vtls\mbedtls.c,836,"static CURLcode Curl_mbedtls_random(struct Curl_easy * data, unsigned char * entropy, size_t length)",6.934884,4.534884,2,0.4,43,39,70,5,10,4,2,3,,True
curl\tests\libtest\lib670.c,94,int test(char * URL),11.049613,8.449613,2.4,0.2,129,109,264,10,24,6,2,4,,True
curl\docs\examples\multi-app.c,46,int main(void),1.6590909,0.1590909,1.5,0,88,7,12,2,3,2,0,1,,True
curl\tests\libtest\lib643.c,39,"static size_t read_callback(char * ptr, size_t size, size_t nmemb, void * userp)",4.409524,2.7428572,1.3333334,0.33333334,35,32,55,3,4,3,1,2,,True
curl\lib\asyn-ares.c,763,"CURLcode Curl_set_dns_local_ip4(struct Curl_easy * data, const char * local_ip4)",3.1190476,1.6190476,1.5,0,21,17,23,2,3,2,0,1,,True
curl\lib\vtls\openssl.c,1087,static void Curl_ossl_cleanup(void),8.478022,6.1923075,1.5714285,0.71428573,26,23,73,7,11,7,5,4,,True
curl\src\tool_operate.c,689,"static CURLcode single_transfer(struct GlobalConfig * global, struct OperationConfig * config, CURLSH * share, bool capath_from_env, bool * added)",1.3512145,0.10121457,1.25,0,988,25,29,4,5,3,0,1,,True
curl\lib\curl_sasl.c,197,"static void state(struct SASL * sasl, struct connectdata * conn, saslstate newstate)",4.177419,1.6774193,2.5,0,31,26,57,2,5,3,0,3,,False
